Freq[Hz]    GD[ms]  Phase[Deg]
5.00000      0.453   -82.397
5.07273      0.378   -82.402
5.14651      0.312   -82.407
5.22137      0.250   -82.447
5.29732      0.190   -82.529
5.37437      0.146   -82.576
5.45254      0.125   -82.581
5.53185      0.125   -82.587
5.61231      0.140   -82.592
5.69394      0.158   -82.598
5.77676      0.173   -82.603
5.86079      0.182   -82.551
5.94604      0.186   -82.428
6.03252      0.186   -82.364
6.12027      0.181   -82.370
6.20929      0.176   -82.376
6.29961      0.177   -82.382
6.39124      0.188   -82.388
6.48420      0.215   -82.395
6.57851      0.256   -82.446
6.67420      0.304   -82.551
6.77128      0.346   -82.612
6.86977      0.381   -82.619
6.96969      0.412   -82.626
7.07107      0.436   -82.633
7.17392      0.443   -82.653
7.27827      0.427   -82.691
7.38413      0.395   -82.715
7.49154      0.369   -82.722
7.60050      0.351   -82.730
7.71105      0.326   -82.737
7.82321      0.285   -82.740
7.93701      0.233   -82.737
8.05245      0.167   -82.739
8.16958      0.080   -82.747
8.28841     -0.017   -82.756
8.40896     -0.111   -82.764
8.53128     -0.201   -82.793
8.65537     -0.279   -82.848
8.78126     -0.339   -82.882
8.90899     -0.387   -82.891
9.03857     -0.435   -82.900
9.17004     -0.486   -82.909
9.30342     -0.544   -82.811
9.43874     -0.604   -82.585
9.57603     -0.661   -82.464
9.71532     -0.716   -82.474
9.85663     -0.762   -82.455
10.0000     -0.790   -82.403
10.1455     -0.800   -82.379
10.2930     -0.791   -82.389
10.4427     -0.765   -82.312
10.5946     -0.728   -82.128
10.7487     -0.691   -82.032
10.9051     -0.662   -82.043
11.0637     -0.641   -82.029
11.2246     -0.620   -81.984
11.3879     -0.591   -81.964
11.5535     -0.551   -81.975
11.7216     -0.500   -81.979
11.8921     -0.437   -81.974
12.0650     -0.365   -81.977
12.2405     -0.300   -81.989
12.4186     -0.253   -81.938
12.5992     -0.216   -81.811
12.7825     -0.180   -81.747
12.9684     -0.145   -81.760
13.1570     -0.113   -81.776
13.3484     -0.077   -81.796
13.5426     -0.031   -81.813
13.7395      0.018   -81.826
13.9394      0.063   -81.817
14.1421      0.106   -81.779
14.3478      0.151   -81.778
14.5565      0.198   -81.821
14.7683      0.242   -81.852
14.9831      0.281   -81.866
15.2010      0.318   -81.897
15.4221      0.355   -81.948
15.6464      0.391   -81.986
15.8740      0.425   -82.010
16.1049      0.458   -82.030
16.3392      0.483   -82.046
16.5768      0.496   -82.077
16.8179      0.499   -82.127
17.0626      0.493   -82.199
17.3107      0.479   -82.299
17.5625      0.457   -82.393
17.8180      0.429   -82.482
18.0771      0.399   -82.538
18.3401      0.364   -82.556
18.6068      0.324   -82.647
18.8775      0.278   -82.826
19.1521      0.232   -82.921
19.4306      0.187   -82.914
19.7133      0.145   -82.894
20.0000      0.108   -82.857
20.2909      0.076   -82.827
20.5860      0.048   -82.807
20.8855      0.022   -82.751
21.1893     -0.002   -82.651
21.4975     -0.019   -82.554
21.8102     -0.029   -82.461
22.1274     -0.030   -82.407
22.4492     -0.024   -82.401
22.7758     -0.011   -82.397
23.1071      0.009   -82.395
23.4432      0.035   -82.403
23.7841      0.063   -82.425
24.1301      0.088   -82.448
24.4811      0.110   -82.475
24.8372      0.131   -82.518
25.1984      0.148   -82.580
25.5649      0.160   -82.655
25.9368      0.166   -82.743
26.3141      0.168   -82.830
26.6968      0.168   -82.915
27.0851      0.169   -82.978
27.4791      0.169   -83.016
27.8788      0.169   -83.054
28.2843      0.166   -83.092
28.6957      0.160   -83.087
29.1131      0.154   -83.029
29.5365      0.148   -82.965
29.9661      0.143   -82.894
30.4020      0.138   -82.848
30.8442      0.132   -82.834
31.2929      0.126   -82.831
31.7480      0.120   -82.844
32.2098      0.116   -82.868
32.6783      0.114   -82.905
33.1536      0.115   -82.983
33.6359      0.119   -83.114
34.1251      0.127   -83.222
34.6215      0.136   -83.304
