Freq[Hz]    GD[ms]  Phase[Deg]
5.00000     18.718  -116.404
5.07273     17.995  -116.889
5.14651     17.247  -117.485
5.22137     16.491  -118.229
5.29732     15.736  -118.950
5.37437     14.985  -119.663
5.45254     14.230  -120.273
5.53185     13.450  -120.803
5.61231     12.619  -121.263
5.69394     11.710  -121.662
5.77676     10.713  -122.007
5.86079      9.633  -122.301
5.94604      8.490  -122.548
6.03252      7.314  -122.752
6.12027      6.133  -122.915
6.20929      4.968  -123.039
6.29961      3.835  -123.125
6.39124      2.742  -123.175
6.48420      1.623  -123.190
6.57851      0.545  -123.171
6.67420     -0.504  -123.120
6.77128     -1.510  -123.037
6.86977     -2.463  -122.923
6.96969     -3.361  -122.778
7.07107     -4.204  -122.603
7.17392     -4.999  -122.399
7.27827     -5.751  -122.165
7.38413     -6.464  -121.902
7.49154     -7.142  -121.611
7.60050     -7.788  -121.292
7.71105     -8.404  -120.945
7.82321     -8.993  -120.570
7.93701     -9.555  -120.167
8.05245    -10.093  -119.736
8.16958    -10.607  -119.278
8.28841    -11.099  -118.793
8.40896    -11.568  -118.280
8.53128    -12.016  -117.741
8.65537    -12.441  -117.174
8.78126    -12.844  -116.580
8.90899    -13.223  -115.959
9.03857    -13.577  -115.311
9.17004    -13.903  -114.637
9.30342    -14.196  -113.936
9.43874    -14.449  -113.208
9.57603    -14.648  -112.455
9.71532    -14.776  -111.675
9.85663    -14.814  -110.871
10.0000    -14.761  -110.041
10.1455    -14.643  -109.189
10.2930    -14.522  -108.312
10.4427    -14.482  -107.415
10.5946    -14.588  -106.498
10.7487    -14.855  -105.565
10.9051    -15.252  -104.617
11.0637    -15.732  -103.661
11.2246    -16.296  -102.702
11.3879    -17.028  -101.749
11.5535    -18.088  -100.813
11.7216    -19.672   -99.914
11.8921    -21.921   -99.076
12.0650    -24.857   -98.342
12.2405    -28.349   -97.807
12.4186    -32.140   -97.595
12.5992    -35.920   -97.888
12.7825    -39.415   -98.713
12.9684    -42.459   -99.736
13.1570    -45.022  -100.144
13.3484    -47.183   -98.669
13.5426    -49.071   -94.209
13.7395    -50.808   -86.529
13.9394    -52.462   -76.431
14.1421    -54.030   -65.614
14.3478    -55.435   -55.852
14.5565    -56.531   -48.029
14.7683    -57.127   -42.141
14.9831    -57.029   -37.477
15.2010    -56.098   -33.151
15.4221    -54.305   -28.768
15.6464    -51.754   -24.429
15.8740    -48.654   -20.430
16.1049    -45.259   -16.993
16.3392    -41.800   -14.133
16.5768    -38.428   -11.748
16.8179    -35.202    -9.652
17.0626    -32.115    -7.652
17.3107    -29.141    -5.613
17.5625    -26.288    -3.497
17.8180    -23.610    -1.369
18.0771    -21.193     0.576
18.3401    -19.112     2.084
18.6068    -17.386     2.981
18.8775    -15.967     3.300
19.1521    -14.772     3.332
19.4306    -13.710     3.446
19.7133    -12.731     3.940
20.0000    -11.830     4.949
20.2909    -11.036     6.352
20.5860    -10.380     7.911
20.8855     -9.874     9.442
21.1893     -9.504    10.855
21.4975     -9.228    12.149
21.8102     -8.996    13.347
22.1274     -8.757    14.472
22.4492     -8.477    15.536
22.7758     -8.145    16.547
23.1071     -7.769    17.509
23.4432     -7.369    18.425
23.7841     -6.967    19.297
24.1301     -6.576    20.125
24.4811     -6.196    20.911
24.8372     -5.817    21.655
25.1984     -5.428    22.358
25.5649     -5.026    23.018
25.9368     -4.614    23.636
26.3141     -4.205    24.211
26.6968     -3.812    24.741
27.0851     -3.446    25.226
27.4791     -3.113    25.661
27.8788     -2.814    26.043
28.2843     -2.548    26.366
28.6957     -2.311    26.616
29.1131     -2.097    26.779
29.5365     -1.901    26.840
29.9661     -1.716    26.808
30.4020     -1.542    26.728
30.8442     -1.377    26.669
31.2929     -1.224    26.695
31.7480     -1.084    26.853
32.2098     -0.959    27.145
32.6783     -0.852    27.511
33.1536     -0.761    27.863
33.6359     -0.685    28.154
34.1251     -0.621    28.378
34.6215     -0.565    28.536
35.1250     -0.511    28.653
35.6359     -0.458    28.752
36.1543     -0.403    28.832
36.6802     -0.350    28.870
37.2137     -0.300    28.860
37.7550     -0.259    28.809
38.3041     -0.227    28.720
38.8613     -0.207    28.608
39.4265     -0.195    28.488
40.0000     -0.190    28.370
40.5818     -0.187    28.265
41.1721     -0.184    28.178
41.7710     -0.179    28.105
42.3785     -0.168    28.054
42.9949     -0.149    28.045
43.6203     -0.117    28.086
44.2548     -0.068    28.200
44.8985      0.000    28.416
45.5515      0.087    28.727
46.2141      0.191    29.117
46.8863      0.307    29.554
47.5683      0.431    29.977
48.2602      0.558    30.327
48.9621      0.686    30.540
49.6743      0.815    30.560
50.3968      0.943    30.366
51.1299      1.070    29.937
51.8736      1.196    29.281
52.6281      1.315    28.449
53.3936      1.423    27.513
54.1702      1.514    26.545
54.9581      1.583    25.598
55.7575      1.624    24.708
56.5685      1.634    23.877
57.3914      1.614    23.096
58.2261      1.566    22.363
59.0730      1.493    21.671
59.9323      1.400    21.032
60.8040      1.292    20.469
61.6884      1.175    20.010
62.5857      1.054    19.681
63.4960      0.933    19.478
64.4196      0.817    19.394
65.3566      0.708    19.406
66.3073      0.611    19.481
67.2717      0.529    19.617
68.2502      0.463    19.812
69.2429      0.414    20.057
70.2501      0.381    20.336
71.2719      0.363    20.593
72.3086      0.358    20.775
73.3603      0.364    20.843
74.4274      0.383    20.753
75.5099      0.416    20.499
76.6083      0.465    20.105
77.7226      0.532    19.609
78.8531      0.613    19.086
80.0000      0.705    18.613
81.1636      0.800    18.255
82.3442      0.890    18.054
83.5419      0.967    17.989
84.7570      1.027    17.965
85.9899      1.068    17.851
87.2406      1.091    17.517
88.5096      1.100    16.871
89.7970      1.098    15.914
91.1031      1.090    14.756
92.4282      1.078    13.538
93.7726      1.062    12.384
95.1366      1.039    11.389
96.5204      1.006    10.568
97.9243      0.959     9.896
99.3486      0.895     9.341
100.794      0.817     8.878
102.260      0.728     8.496
103.747      0.633     8.188
105.256      0.539     7.954
106.787      0.450     7.792
108.340      0.368     7.714
109.916      0.291     7.732
111.515      0.220     7.862
113.137      0.152     8.103
114.783      0.089     8.415
116.452      0.032     8.718
118.146     -0.014     8.925
119.865     -0.046     8.979
121.608     -0.062     8.924
123.377     -0.060     8.855
125.171     -0.043     8.867
126.992     -0.013     9.039
128.839      0.025     9.377
130.713      0.068     9.832
132.615      0.113    10.309
134.543      0.156    10.674
136.500      0.197    10.842
138.486      0.237    10.760
140.500      0.278    10.409
142.544      0.320     9.843
144.617      0.364     9.157
146.721      0.409     8.445
148.855      0.454     7.747
151.020      0.495     7.065
153.217      0.530     6.413
155.445      0.556     5.788
157.706      0.573     5.179
160.000      0.582     4.595
162.327      0.585     4.037
164.688      0.582     3.495
167.084      0.576     2.958
169.514      0.568     2.416
171.980      0.559     1.879
174.481      0.547     1.365
177.019      0.535     0.894
179.594      0.521     0.482
182.206      0.506     0.130
184.856      0.490    -0.189
187.545      0.472    -0.499
190.273      0.453    -0.829
193.041      0.433    -1.203
195.849      0.411    -1.629
198.697      0.387    -2.115
201.587      0.361    -2.652
204.520      0.334    -3.224
207.494      0.305    -3.816
210.512      0.275    -4.392
213.574      0.243    -4.917
216.681      0.208    -5.376
219.833      0.171    -5.748
223.030      0.133    -6.030
226.274      0.093    -6.229
229.565      0.054    -6.350
232.905      0.015    -6.398
236.292     -0.021    -6.372
239.729     -0.054    -6.267
243.216     -0.082    -6.071
246.754     -0.103    -5.767
250.343     -0.117    -5.333
253.984     -0.124    -4.756
257.678     -0.124    -4.050
261.426     -0.117    -3.255
265.229     -0.105    -2.424
269.087     -0.088    -1.614
273.001     -0.069    -0.872
276.972     -0.048    -0.267
281.000     -0.025     0.100
285.088      0.000     0.159
289.234      0.026    -0.113
293.441      0.053    -0.692
297.709      0.080    -1.476
302.040      0.106    -2.333
306.433      0.130    -3.174
310.890      0.150    -3.945
315.412      0.164    -4.620
320.000      0.171    -5.200
324.655      0.170    -5.710
329.377      0.162    -6.168
